,Rainfall (mm),GWL (m),AMP,AMT
2019-02-14,0.0,-1.39625,0.04363802422586083,0.080119149027768
2019-02-15,0.0,-1.40125,0.04613080915029655,0.08011795688662678
2019-02-16,0.0,-1.10375,0.04862359407473226,0.08011676474548554
2019-02-17,0.0,-0.6795833333333333,0.05111637899916797,0.0801155726043443
2019-02-18,0.0,-0.9408333333333334,0.05290221863760771,0.0801184766364872
2019-02-19,5.0,-1.38,0.05391963948692138,0.08012583303089545
2019-02-20,0.0,-1.5395833333333335,0.05493706033623503,0.08013318942530367
2019-02-21,0.0,-1.6516666666666666,0.055954481185548695,0.08014054581971192
2019-02-22,0.0,-1.715,0.05697190203486236,0.08014790221412015
2019-02-23,0.0,-1.47625,0.05739895024021005,0.08005331221020322
2019-02-24,8.5,-1.0933333333333333,0.05718428904994255,0.07984791090375894
2019-02-25,0.0,-1.33375,0.056969627859675055,0.07964250959731464
2019-02-26,0.0,-1.5970833333333332,0.056754966669407554,0.07943710829087035
2019-02-27,0.0,-1.6408333333333334,0.05654030547914005,0.07923170698442607
2019-02-28,0.0,-1.5625,0.05611416194099917,0.0788217706477241
2019-03-01,0.0,-1.1408333333333334,0.05545814628560461,0.07818951362595941
2019-03-02,0.0,-0.9625,0.05480213063021005,0.07755725660419473
2019-03-03,18.5,-0.7495833333333333,0.05414611497481548,0.07692499958243006
2019-03-04,0.0,-1.1116666666666666,0.05349009931942091,0.07629274256066539
2019-03-05,7.5,-1.4358333333333333,0.052501593450572,0.07561988261812831
2019-03-06,11.5,-1.5095833333333333,0.05115168517579446,0.07490288906605601
2019-03-07,22.0,-1.5383333333333333,0.04980177690101691,0.07418589551398372
2019-03-08,10.0,-1.4275,0.04845186862623937,0.07346890196191143
2019-03-09,55.5,-0.9879166666666667,0.04710196035146182,0.07275190840983914
2019-03-10,16.5,-0.5433333333333333,0.046114267030543166,0.07220263387550305
2019-03-11,0.5,-0.8483333333333333,0.04552028561599286,0.07183566262131501
2019-03-12,0.0,-1.1791666666666667,0.044926304201442564,0.07146869136712697
2019-03-13,0.0,-1.2791666666666666,0.044332322786892274,0.07110172011293893
2019-03-14,0.0,-1.2879166666666666,0.04373834137234198,0.07073474885875089
2019-03-15,0.5,-1.28875,0.043200921854928735,0.0703569395509056
2019-03-16,0.0,-0.9116666666666666,0.042724982660490546,0.06996734974995462
2019-03-17,0.0,-0.58,0.04224904346605237,0.06957775994900363
